,serif,serif_gen
23,我 梢つつじの名において命じる！,我 ツキーつつじの名において命じる! 我  基本的につつじの名において命じる! 我 敗退したつつじの名において命じる!
24,我 梢つつじの名において命じる！,「つつじ」の読みは「つつじ」
25,我 梢つつじの名において命じる！,我が明 我が明 我 瘍つつじの名において命じる!
26,我 梢つつじの名において命じる！,我 使節つつじの名において命じる! 我らは空に自由を取り戻せるか
27,我 梢つつじの名において命じる！,我 権を人どもに委託して衣食住を提供する......陰気な響きだが、「権勢におもねらず」の英断である
28,我 梢つつじの名において命じる！,我 ツァじる! 我 識別 我 識別 我 盗ん 盗ん 有す 我が軍隊に迷惑がかからぬよう、
29,我 梢つつじの名において命じる！,我われ わがしとて給仕の身なりに事欠くわれのほとけなし給仕我 コマーシャル申し上げます」
30,いでよ！ 悪魔っ,で、なぜそんなことをするのか? まあ、ご心配には及びません
31,いでよ！ 悪魔っ,ともあれ面白かった
32,いでよ！ 悪魔っ,でしたと、新聞が書けというのである
33,いでよ！ 悪魔っ,まいったなあ、ひどすぎる
34,いでよ！ 悪魔っ,へへへへへへ、とほほ笑むのだった
35,いでよ！ 悪魔っ,でかっ 「女系天皇」の夢を実現させる可能性が にあったではないか
36,いでよ！ 悪魔っ,いないよりはマシだけど、そもそも論としては「いない方がいい」が与党の考えだ
37,いでよ！ 悪魔っ,でへへへ、どうしたの、これ
38,いでよ！ 悪魔っ,だから、もう、逃げないで、がんがん働けよ
39,いでよ！ 悪魔っ,で、あなたは何をほしがる? いてえべっさん、ひとときも忘れず......
40,我を呼んだのは貴様か……,だが貴様は今、貴様の手にそれを望むか、貴様の胸に手を差し伸べ、貴様が満足するように努めるか、まず選択を留保せねばならない
41,我を呼んだのは貴様か……,貴様は去れ〜っしゃ」 私「貴様もおっしゃらず」 貴様「私の従うべき道は、後に続く者よ」
42,我を呼んだのは貴様か……,貴様も国に教にしておれば、この苦難を乗り切れると所を しておるのだ......」 貴様も国に教にしておれば、この
43,我を呼んだのは貴様か……,我を呼んだのは貴様か......
44,我を呼んだのは貴様か……,我を呼んだのは貴様か......
45,我を呼んだのは貴様か……,「これから貴様の目に付いた時、この目は物事に無機質な物事の先をを見いだした様だ」 我慢に限界を迎えた貴様
46,我を呼んだのは貴様か……,しかし、貴様の理屈は分かりません
47,我を呼んだのは貴様か……,貴様こそ国を恐れぬ方々よ、貴様は貴様を自由と繁栄に男は貴様を恐れず」 貴様が恐れず恐れず、貴
48,我を呼んだのは貴様か……,我を呼んだのは貴様か......
49,我を呼んだのは貴様か……,我を呼んだのは貴様か......
50,あれ？,これはどういうことだろう
51,あれ？,あれ? あれ? あれ? あれ? ああ、これも、今の段階では、とんでもない失礼だろうか
52,あれ？,「うわさは聞くが......」   東京電力福島第1原発事故は収束の見通しが立たず、放射性物質による汚染が急速に拡大している
53,あれ？,あれは98年1月5日
54,あれ？,あれ? うちもそろそろの時期になりましたねええ」
55,あれ？,これも、原発に変わるエネルギー源がないことが背景にあるのか?」 そう語り、日本が抱える事情を率直に語った
56,あれ？,あれ? これもなかったかなあ......」 広島出身の下宿師、赤沢和美さんは、自宅が被爆死認定された広島高裁で、住民側の証人尋問を受けている
57,あれ？,こっちだって」 さながら解放広場だ
58,あれ？,あれは3月16日、橋下徹・大阪市長が「大阪都構想」を含む大阪市内改革の一環として、企業・団体献金を禁止する方針を発表したのを機にやめたのだ
59,あれ？,あれは楽しかったんだな、と
60,禁句,禁句
61,禁句,写真は昨年8月、今年5月、6月、7月、9月、11月に撮影し、編集後、1年1カ月の「販売禁止」となった写真
62,禁句,「天より柱」とは、権力の象徴に見えていた革命の父・孫文の遺訓だ
63,禁句,禁句は人の心に訴えかけるものがあるという
64,禁句,禁句
65,禁句,禁句は先日の小沢氏の不起訴不当の判断
66,禁句,「自民党の支持率は下がるばかりだ」
67,禁句,「政と官」の対決が激化する中で、前原誠司国土交通相は21日夜、「できるだけ公党間の合意は尊重すべきだ」と小沢氏をけん制
68,禁句,禁句は禁句である
69,禁句,禁句
70,我は悪魔・・,我こそ場合はここへどうぞ」と呼びかけている
71,我は悪魔・・,我こそ正義だと思つ
72,我は悪魔・・,我はギャンブルとロードの達者な山容で「雪国の貴婦人」と呼ばれる
73,我は悪魔・・,我はやって来た・・・
74,我は悪魔・・,我はギャンブルで毎日のように自殺を図り、みかねた妻が策ある者へと導いた
75,我は悪魔・・,我はを搭載している・・・
76,我は悪魔・・,我は
77,我は悪魔・・,我は悪魔・・
78,我は悪魔・・,我はgダ家の事情というより、戦後60年の今ごろ駆け引きに忙しい政治家は政治空白と無縁なのだろう、と私は思う
79,我は悪魔・・,我は銚子・・・、英期間は「新東京社」占拠へ動いた「新東京」の社屋である
80,証拠,2人は、美代子被告の戸籍上の妹、角田三枝子被告の夫、三枝子被告の夫の義兄
81,証拠,漏えい問題の続発を受け「最高検は、常習性や責任の所在がどこにあるか解明する『警鐘』を鳴らすべきだった」と、検察トップの責任を問う声が出ている
82,証拠,段落付
83,証拠,01年の同種事件の構図とも一致しており、犯人隠避の疑いが一層強まった
84,証拠,供述調書などによると、 C は04年12月、大阪市北区の 大阪駅前で、会社員、鈴木源太郎さんを車ではね、約3・9メートル引きずって約2
85,証拠,捜査への協力要請書など証拠書類18通と、捜査担当者の個人的見解をまとめた「当用字典」4通
86,証拠,捜査上、この人物の特定は難しく、犯人像は見えてこない
87,証拠,公判で検察側は、村木被告が04年10月上旬ごろ、倉沢被告を通じて「自分がトップいじめに加担した」と供述していると主張
88,証拠,全データの先頭が「04年9月8日」から「6月7日」に改ざんされていたことを突き止めた
89,証拠,06年5月に死亡した元被告の調書の写しや自白調書
90,ホントに悪魔なの？,ホントに悪魔なの? ホントに条外なの? うむ、とんでもないデマだなあ
91,ホントに悪魔なの？,ホントに宏池会にまともな人が全然いないのか、とんでもない盲目のようだ
92,ホントに悪魔なの？,ホントにダービーなの? ホントに立派なの? 世界一のモノを作る技術と、壊す技術
93,ホントに悪魔なの？,ホントにツクなの? ホントに陽気なの?  「あなたは笑ってねえけど、笑ってないの」
94,ホントに悪魔なの？,一方、 通信によると、首都トリポリのデモ隊の幹部は毎日新聞の電話取材に、「デモ参加者が日の丸を背負って走行する姿に熱中症のような症状が疑われる
95,ホントに悪魔なの？,ホントに梢なの? ヒトは私たちの脳が感情をつかさどっているといわれて久しいが、感情をつかさどる神経の量は、無意識
96,ホントに悪魔なの？,ホントに北アイルランドなの? 「ま、ま、まあ......
97,ホントに悪魔なの？,ホントにギャンブルで負けそうになったら、どうするの?」   株暴落の引き金をひくのは、米国の大手証券リーマン・ブラザーズ
98,ホントに悪魔なの？,ホントにエンドユーザー目線でつくり出したサービスなのよ」 消費者とどう向き合うか、本当にそう思っているの
99,ホントに悪魔なの？,「いろんな国で語り継いでいかないといけない」 そう話すのは、国際協力機構の職員で 関係者でもある山口彰彦さん
100,む！疑っておるのか？,大丈夫だとおっしゃるのか? いや、それこそ「政治とカネ」の問題ですから
101,む！疑っておるのか？,いや、気のせいか? む!疑っておるのか? いや、それは「検査の結果次第で増える」と言うにとどまっている
102,む！疑っておるのか？,何を言っているのかさっぱりわからんが、とりあえず止めんよ
103,む！疑っておるのか？,なるほど「 」は知っていた
104,む！疑っておるのか？,それとも、そうか、気のせいか? 何となくそういう気がする
105,む！疑っておるのか？,う〜む、む!疑っておるのか? いや、もっとオープンな議論があっていいのだ
106,む！疑っておるのか？,何が問題なのか? である
107,む！疑っておるのか？,む!疑っておるのか? いや......
108,む！疑っておるのか？,菅は『そういう見方もあるかも』とだが、私から言うと『やめろ』ですね」 自公政権下の首相では仙谷由人官房長官らが
109,む！疑っておるのか？,いや、疑っておるのではなく、本当にその通りだと私は思う) 何と答えるのかという問題だが、釈然としない
110,よかろう特別証拠をみせてやろう,なにがなにしろ、証拠があるのに台所に立つ時間がなかったのだ
111,よかろう特別証拠をみせてやろう,うそつきや興ざめではだめだが、なにかやむを得ないともがく心情は、きっとそうはいかない現実とも読める
112,よかろう特別証拠をみせてやろう,「なんで、こんなことしているんだ」 小沢は今ごろ、そんなことを考えているかもしれない
113,よかろう特別証拠をみせてやろう,逮捕というのはとんでもないことだ
114,よかろう特別証拠をみせてやろう,ああ、そうか、そうか
115,よかろう特別証拠をみせてやろう,ああ、いいですか
116,よかろう特別証拠をみせてやろう,むかし、あるところに行けず、なにをいまごろほしがっているかと思えば、こんなすさまじいことをいまさら見せびらかそうとしても
117,よかろう特別証拠をみせてやろう,「あなたこそ逮捕してくれれば良かった」 小沢は刑事に淡々と淡々と棒に振った
118,よかろう特別証拠をみせてやろう,なにわの台所「大黒屋」で、1階大黒柱に新聞紙を広げた黒木順彦さん、玉井英章さんらがお出
119,よかろう特別証拠をみせてやろう,密約があったとすれば、どうして密約を暴くのをためらったのか、その理由を考えなくてはならない
120,悪魔免許だ,免許証をちらつかせながら、自民党にいらだちをにじませるのが社民党の福島瑞穂党首
121,悪魔免許だ,それが資格認定の仕組みだから、それ用の勉強が必要で、その労力は2倍以上になる
122,悪魔免許だ,なるほど、となる
123,悪魔免許だ,免許状は、運転経験と人的実績が条件
124,悪魔免許だ,免許がなくても始められるの仕事がある
125,悪魔免許だ,調べた
126,悪魔免許だ,免許は国家資格だ
127,悪魔免許だ,免許は、国家資格化のはずがない
128,悪魔免許だ,免許状は有効で、条件を満たしているならば、どの国でも日本人として生まれてから来るはなをくじ引きで決めているのである
129,悪魔免許だ,免許は5年だが、運転は1年程度だ
130,・・・・・・・・,・・・・・・・・・・・............................................................................................. ・・・・..............................
131,・・・・・・・・,・・・・・・・・・・・・................................................... ・・・・・.............................................
132,・・・・・・・・,.................................................................................................................. ・・・・・................................................... ・............
133,・・・・・・・・,......................................................................................................... ・・................................................................................. ・......
134,・・・・・・・・,・・・・・・・・・・・....................................................................................... ・......................................................
135,・・・・・・・・,・・・・・・・・・・....................................................................................... ・... ・・・・..................
136,・・・・・・・・,・・・・・・・・・・.............................................................................. ・・・・・... ・・・・............
137,・・・・・・・・,・・・・・・・・・・... ・・・・・・・・・・・....................................... ・・・・・
138,・・・・・・・・,・・・・・・・・・・・・........................................................................ ・・・・................................................
139,・・・・・・・・,・・・・・・・・・....................................................................................... ・..................................................................
140,望むままに・・は・・,どこへも希望はあるはず
141,望むままに・・は・・,同紙によると、オバマ氏は同夜、ワシントン近郊のダレス国際空港で記者団に対し、会談内容についての質問には答えず、質問があれば回答すると約束した
142,望むままに・・は・・,願わくは・・・「あなたが生きてますように」・・・と
143,望むままに・・は・・,望むままに・・は・・・は・・
144,望むままに・・は・・,願わくは「無条件・無条件」で、それにこだわる執着心がほしい
145,望むままに・・は・・,望むままに・・は・・・は・・・」 ・・・・・と書こうと100字を書こうとしたが、長くて4行だった
146,望むままに・・は・・,望むままに・・は・・
147,望むままに・・は・・,望むままに・・は・・は・・
148,望むままに・・は・・,「やらなきゃいけないことはやった」と反省の弁は言うが、それでは自己否定
149,望むままに・・は・・,望ままに・・は・・・
150,す　好きな人と両想いにして欲しいの,落ち着いて
151,す　好きな人と両想いにして欲しいの,す 好きな人と両1776にしてくれればいいの......」 す 好きな人と両梢にして欲しいの......」 す 好きな人と両エドにしてくれればいい
152,す　好きな人と両想いにして欲しいの,はい
153,す　好きな人と両想いにして欲しいの,あたしはそっちね」 す 好きな人と両1776にして欲しいの
154,す　好きな人と両想いにして欲しいの,大勢の人の前で、恥ずかしくて人前に出るのが怖い
155,す　好きな人と両想いにして欲しいの,あたしの方こそ、ごめんなさいね」 す 好きな人と両1854にして上げてと言うよりは、あたしも両東武にして上げてと言う方がずっと素直な心情
156,す　好きな人と両想いにして欲しいの,す 好きな人と両機としてにして良かったの私が殺ちゃったのかなあ......」 す 好きな人と両の形態にして欲しいの私が殺ちゃったのかなあ......」
157,す　好きな人と両想いにして欲しいの,男の人は皆弱い人だから、チャンスを自分で取り逃すから」 す 好きな人と両軍曹にして欲しいの
158,す　好きな人と両想いにして欲しいの,す 好きな人と両機としてにして欲しいの
159,す　好きな人と両想いにして欲しいの,ど どっちもイイね」 す 好きな人と両1861にして上げたいの
160,それが貴様の望みか・・・・,それが貴様の望みか・・・・・・・
161,それが貴様の望みか・・・・,貴様の望みか・・・・・・
162,それが貴様の望みか・・・・,「今」を何もせず、来るべき時を迎えたことに深い失望を抱いておられるのかもしれない
163,それが貴様の望みか・・・・,それが貴様の望みか・・・・・・
164,それが貴様の望みか・・・・,どうも貴様の望みは望みと違うようだ
165,それが貴様の望みか・・・・,貴様の望みか・・・・・・・
166,それが貴様の望みか・・・・,それが貴様の望みか・・・・・・
167,それが貴様の望みか・・・・,貴様の望みか・・・・・
168,それが貴様の望みか・・・・,それが貴様の望みか・・・・・・
169,それが貴様の望みか・・・・,貴様の望みか・・・・・・
170,ふざけるなーっ,橋下氏は選挙中、橋下氏と大阪・新世界の居酒屋で会食するなど、地道な活動で台所事情には詳しい
171,ふざけるなーっ,橋下知事は19日、テレビの記者会見で、「大阪市」と「堺市」はともに区長が選挙権と決議権を持ち、の権限を府市再編案で協定する
172,ふざけるなーっ,えーっ、そんなこと言ったって、要は米国人のおごりだ
173,ふざけるなーっ,民主党の安住淳幹事長代行は「民主党のマニフェストは国民との契約違反
174,ふざけるなーっ,みんなにむかつくだろうが、おれはこう見えてまだまだや
175,ふざけるなーっ,人間は誰でもそうだが、ミスをやらなければ成長しない
176,ふざけるなーっ,民主党は政権交代に「政治主導」を掲げた
177,ふざけるなーっ,首相にすれば、このテコが全く効かないというのである
178,ふざけるなーっ,なんでそんなことをするのか」
179,ふざけるなーっ,ふざけるなーっ
180,貴様の魂と引き換えに何でも望みを叶えよう,そう考えて私は貴様を見た
181,貴様の魂と引き換えに何でも望みを叶えよう,一方、貴様の魂と引き換えに何でも望みを指定されたよう、我々は貴様の代わりに努力するさなければならない
182,貴様の魂と引き換えに何でも望みを叶えよう,貴様の魂と引き換えに何でも望みをかなえよう
183,貴様の魂と引き換えに何でも望みを叶えよう,そう思わずにはいられなくなった......」 長ぐつに長靴を履き、いつも通りのざんばら髪、服装で登校した
184,貴様の魂と引き換えに何でも望みを叶えよう,我々の大局を守るすべての人々が我々の文明のためにきったくりして生命をとうに売り買いし、我々の文明が今日、繁栄したことを世界に示すつもりであります
185,貴様の魂と引き換えに何でも望みを叶えよう,だが私は教師として成功するには、やはり君の笑顔が必要がある」  は2年前に米映画「スラム暴動からの自由を求める会」が上映中止を決めた
186,貴様の魂と引き換えに何でも望みを叶えよう,そうさせる具体的な方法は様ざまに誕生し、貴様の望むままに生きるではあるまいか
187,貴様の魂と引き換えに何でも望みを叶えよう,何所で打つでも、何もしないで無だけにし近くで打つでも、どちらでもいい
188,貴様の魂と引き換えに何でも望みを叶えよう,貴様の体毛が青く染まるまで、私はなおの御利益を祈る......」 首相は「貴様の未来の生活が素晴らしいものとなるよう
189,貴様の魂と引き換えに何でも望みを叶えよう,そう誓った
190,うわっ,うわっ
191,うわっ,これはいい
192,うわっ,まじか、危ないじゃないか」 男性は1月28日、大阪市平野区の漫画喫茶のパソコンからインターネット上の動画サイト「ユーチューブ」に中国漁船衝突事件の捜査資料の一部映像を投稿した
193,うわっ,見覚えのある顔
194,うわっ,息が詰まった
195,うわっ,なるほど
196,うわっ,うわっ、これで民主党はだめになったね
197,うわっ,ずいぶん前になったが、毎日新聞の5月全国世論調査で内閣支持率が17%になった
198,うわっ,ありふれた光景だ
199,うわっ,何が起きているのか、さっぱり分からない」 民主党の鳩山由紀夫幹事長は18日、名古屋市で開かれた党本部での党三役会議後、記者団に民主党の対応を批判
200,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,ただ、問題なのはその先だ
201,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,そう考えてみると、今の日本は案外、平和で平和だと思う
202,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,・・・・・・ ・・・・・ ・・・ ・・・ ・
203,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,・・核武装を断固として避ける
204,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,自らの過去も振り返った時「やっぱり、あの時ああなら良かった、こうなればもっと違ったかもしれない」「あ
205,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,・・・・・・ ・・・・・・・ ・・・・・・ ・
206,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,なによあれ前例と関東は・・・・・・・・・・・・・・・・・
207,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,「核搭載艦船の核持ち込み」を毎日新聞が実施したのは、95年12月6日に核搭載艦船の寄港などを
208,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,何にせよ・・・・・・という事 自分でなんとかするべきだ努力はしたのか?そもそも主人とはなあ
209,そんな事　自分でなんとかするべきだ努力はしたのか？そもそも恋愛とはなあ・・・・,人の言葉には無関心というか、無関心というか、もともと関心がないというか・・・・
210,は・・・・ハムスターに説教されてる,・・・・ ・・・ ・ ・ ・ ・ ・ ・ ・ ・ ・
211,は・・・・ハムスターに説教されてる,そうだろうね
212,は・・・・ハムスターに説教されてる,は・・・・ハムスターに商用ジェットを踏破させてやろうじゃないか
213,は・・・・ハムスターに説教されてる,は・・・・ハムスターに全国大会の勝ち方を教えてやろうじゃないか
214,は・・・・ハムスターに説教されてる,で、世界にはどう対応するんだという話だ
215,は・・・・ハムスターに説教されてる,仏、伊、ドイツの3大政党は、緊縮財政や経済成長重視の経済政策で足並みをそろえ、批判にさらされている
216,は・・・・ハムスターに説教されてる,当然、人間にも資格がある
217,は・・・・ハムスターに説教されてる,別に罰でも何でもなく、ただ「かわいい」と言うだけでよい
218,は・・・・ハムスターに説教されてる,人間にへつらい人なんですが、へつらうのも大変なんです
219,は・・・・ハムスターに説教されてる,ま、気が楽やねえ? いや、気が楽やけどねえ
220,八ム・・・・,八ム・・・・・
221,八ム・・・・,エジプト・シナイ半島沖の海底で、海底下30メートル付近で南北の2面にわたる南北約960メートルの海底面が南北約17メートル、東西約13メートルの状節点
222,八ム・・・・,北京五輪の日本代表選手団と大会役員が出席し、記念講演や祝賀会が開かれる
223,八ム・・・・,北京五輪代表最終選考会を兼ねた第58回びわ湖毎日マラソン大会は20日、大津市の大津市立大津市民会館を発着点とする42・195キロのコースで行われ、
224,八ム・・・・,一方、中国は、人権問題で柔軟な姿勢を見せる背景には、胡錦濤指導部が国内でも厳しく影響力を行使していることがあるとみる
225,八ム・・・・,」 劉氏は香港の作家、李登輝の「天安門事件」を、文面からを読み解く
226,八ム・・・・,香港の活動家らによる沖縄県・尖閣諸島上陸事件で政府は13日、中国の民主活動家、劉暁波氏に10日と12日に無許可で皮膚着陸させ、領海外に
227,八ム・・・・,ムフタ・墨1ガラン
228,八ム・・・・,米軍はアフガンからパキスタン領内に武器密輸用の海兵隊部隊を送る「核戦略」に着手する
229,八ム・・・・,北京五輪まで2カ月
230,我はハムスターなどではないっっ！,我慢している時、私は主にネットで情報を集め、時には人に語った
231,我はハムスターなどではないっっ！,我はハムスターなどではないっ! 我はハムスターなどではないっ! 我は...
232,我はハムスターなどではないっっ！,我はハムスターなどではないっ! 我だ、仏典をのみ込み、仏に問うために戦う! 我は偽善という偽善にお
233,我はハムスターなどではないっっ！,ほら、元気? 我慢の限界しょっちゅうやったのにっ、ほら、またやらかしやろ」 我はハムスターなどではない
234,我はハムスターなどではないっっ！,我はハムスターなどではないっ! 我慢の限界に近づきつつある今日このごろである
235,我はハムスターなどではないっっ！,我はハムスターなどではないっ!............................................................................................. 我はハムスターなどではないっ!..................
236,我はハムスターなどではないっっ！,大声で言い返信るべきなのに、気がついていないみたいで」と笑う
237,我はハムスターなどではないっっ！,我はハムスターなどではないっ! 我慢の限界だっ、許しはしないぞっ! 我は天に敵を売ることだっせっ!
238,我はハムスターなどではないっっ！,我はハムスターなどではないっ!........................................................................................................................... 我はハムスターなどではないっ
239,我はハムスターなどではないっっ！,我はハムスターなどではないっ! 「人間界のあらゆる変化を駆け巡った」 私には夢がある
240,本能,「死ね」と繰り返すうち、体の一部さえ押し通信社の傘下に入った
241,本能,あこがれていた選手を応援したい」 昨年の大みそかにプロ彦州・韓日議連辞任したばかりの李相日前ソウル市長も「韓日議連が前に進めた計画が進め
242,本能,今の時期は、巣立ちに向けた準備が最終段階であり、社会とのかかわりはほどほどがいいのではないか
243,本能,夜が明けた朝もサイトを漁るため網を引いた
244,本能,......って......」  法人「日本条件行動ネットワーク」理事長
245,本能,............................................................................................................... 堺市出身
246,本能,まあ、ぼーっと突っ張ればいいのだ
247,本能,何事にもおトクという精神で、節度をもって行動してきた
248,本能,情けは人の気持ちに告ぐ」は、菅直人首相と小沢一郎前幹事長の「小鳩」関係の象徴的な言葉だが、その意味は最近はほとんど減っている
249,本能,「人間はそもそも気の遠くなるほどの孤独と慣れ親しんでいる」
250,こう見えても我は上位悪魔なのだ,..................................................................................................................... こう見えても我は上位就役なのだ
251,こう見えても我は上位悪魔なのだ,こう見えても我は上位公卿なのだ
252,こう見えても我は上位悪魔なのだ,ただ残念ながら、男子体操と相撲は私は「国技」だと思っている
253,こう見えても我は上位悪魔なのだ,我ながら算数は得意である
254,こう見えても我は上位悪魔なのだ,こう見えても我は上位埜なのだ
255,こう見えても我は上位悪魔なのだ,こう見えても我は上位グルメなのだ
256,こう見えても我は上位悪魔なのだ,こう見えても我は上位高地を使っている
257,こう見えても我は上位悪魔なのだ,こう見えても我は上位コンプレックスなのだ
258,こう見えても我は上位悪魔なのだ,こう見えても我は上位工芸品なのだ
259,こう見えても我は上位悪魔なのだ,こう見えても我は上位グルメなのだ
260,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ.......................................................................................... 望むなら世界を滅ぼ
261,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ
262,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ
263,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ
264,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ、と
265,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ
266,望むなら世界を滅ぼす事もできるぞ,「望みも希望も世界中にあるんだ」
267,望むなら世界を滅ぼす事もできるぞ,............................................................................................................... 望むなら世界を滅ぼす事もできるぞ...........................
268,望むなら世界を滅ぼす事もできるぞ,望むなら世界を滅ぼす事もできるぞ
269,望むなら世界を滅ぼす事もできるぞ,今すぐ止めなければ間に合わぬと分かってはいても、パソコンが気になるから止まれない
270,ちょっと腹が減ってただけだからな,でも、昨日のうちにご飯を研いで、おかずを作っとかなきゃなんかないよ」
271,ちょっと腹が減ってただけだからな,休んでる場合じゃないだろ」と声を荒らげた
272,ちょっと腹が減ってただけだからな,ちょっと腹が減ってただけだからな
273,ちょっと腹が減ってただけだからな,ちょっと腹が減ってただけだからな
274,ちょっと腹が減ってただけだからな,「戦争だから、みんなで腹を割って話すんだ
275,ちょっと腹が減ってただけだからな,ちょっと腹が減ってただけだからな
276,ちょっと腹が減ってただけだからな,ちょっと腹が減ってただけだからな
277,ちょっと腹が減ってただけだからな,一方、民主党の岡田克也幹事長は15日、訪問先の北京で記者団に「まあ、一安心かという感じで、ちょっと腹が減ってただけだからな
278,ちょっと腹が減ってただけだからな,今日は風邪薬を多めに飲んだ方がいいよ、ハハハハ」 別に用ことがあるわけではないが、用済むれば物がなくなるのも困る
279,ちょっと腹が減ってただけだからな,ちょっと腹が減ってただけだからな
280,かわいい,かわいい、と小山田は言う
281,かわいい,ただ、考えてみたらどうだろうか
282,かわいい,あすは真優さんの17歳になった日と同じ18歳になる
283,かわいい,すてき
284,かわいい,かわいい
285,かわいい,かわいい
286,かわいい,どうしてこんなにモヒカンなんだ
287,かわいい,でも......」
288,かわいい,これでいじめや学校特定施設によるいじめがなくなるんだね」と喜んだ
289,かわいい,子どもはもう少し大きな顔でたくさん話して」
290,プライド,意地と覚悟がなければ書けない
291,プライド,メンツ、安全、ブランド......
292,プライド,人間生きていれば弱さがある
293,プライド,怒り、悲しみ、苦しみ、ぜいたく品や 金色の旗......
294,プライド,愛する人のための予算を組み、愛する人たちのための予算を組み、愛する人たちのための予算を組み替えなければならない」 野田佳彦首相は18日、11年度予算案の国会提出を受け国会内で記者団に
295,プライド,そこが出発点だ」 志位は、昨年3月15日に閣議決定された「税と社会保障の一体改革」素案へのこだわりをこうにじませる
296,プライド,あの時から
297,プライド,何があっても絶対に落ち込むことはない」 精神的な緊張が解けた後、温かさが込みわまった
298,プライド,目標があるから努力できる
299,プライド,「こんな夜景、見たことない」
300,しばらく世話になるぞ,だが、しばらく世話になるぞ
301,しばらく世話になるぞ,なにしろ、この会談は福島原発事故から1年を前にした3月12日、首相が同席した最後の定例記者会見だ
302,しばらく世話になるぞ,世話になってやる
303,しばらく世話になるぞ,私はずっと、こう答えてきた
304,しばらく世話になるぞ,「よく来るな」
305,しばらく世話になるぞ,仙谷由人官房長官は22日午後、菅直人首相あてに「おことば」と題したファクスを送付
306,しばらく世話になるぞ,よろしく頼むよ」 そう言って含みを持たせた
307,しばらく世話になるぞ,みんな親切な人ばかりだね
308,しばらく世話になるぞ,遠出はできるだろうが、毎日顔を見ることが大事だ
309,しばらく世話になるぞ,「突然の打診でびっくりしました
310,ハムル・キンスキー２世だ,英国人は英国人です
